ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;141
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;100
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;7
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;41
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;F;243
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;M;403
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;09;Health and welfare;F;101
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;09;Health and welfare;M;32
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;10;Services;F;8
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale;10;Services;M;24
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;F;89
