ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;368
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;508
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;1157
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;70
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;82
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;F;20
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;484
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;744
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;150
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;163
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;M;22
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;719
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;2098
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;M;40
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;10;Services;M;79
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;128
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;19
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;123
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;24
2024/2025;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Vecchio Ordinamento;01;Education;M;1
2024/2025;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;27
2024/2025;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;354
